src,dst,add_st,mul_st
22,4,4,2.3333333333333335
22,5,0,1.0
22,6,2,1.5
22,7,5,2.25
22,8,5,2.0
22,9,1,1.25
22,10,0,1.0
22,11,7,3.3333333333333335
22,12,0,1.0
22,13,8,5.0
22,14,2,1.6666666666666667
22,15,0,1.0
22,16,-2,0.5
22,17,0,1.0
22,18,1,1.2
22,19,-2,0.6
22,20,0,1.0
22,21,1,1.3333333333333333
22,23,6,2.2
22,24,0,1.0
22,25,4,1.8
22,26,-3,0.4
22,27,2,1.5
22,28,3,2.0
22,29,6,2.5
22,30,5,2.0
22,31,1,1.3333333333333333
22,32,8,5.0
23,1,7,2.75
23,2,0,1.0
23,3,-1,0.6666666666666666
23,4,2,1.6666666666666667
23,5,6,3.0
23,6,4,3.0
23,7,-1,0.75
23,8,1,1.3333333333333333
23,9,3,1.75
23,10,4,2.0
23,11,0,1.0
23,12,5,2.25
23,13,0,1.0
23,14,5,2.25
23,15,6,2.5
23,16,8,5.0
23,17,7,2.75
23,18,6,2.5
23,19,8,3.6666666666666665
23,20,6,2.5
23,21,5,2.0
23,22,6,2.2
23,24,8,3.0
23,25,2,1.6666666666666667
23,26,7,2.4
23,27,9,4.0
23,28,7,2.4
23,29,-3,0.4
23,30,-1,0.8
23,31,8,3.0
23,32,0,1.0
24,1,1,1.2
24,2,5,2.25
24,3,9,3.25
24,4,5,2.6666666666666665
24,5,0,1.0
24,6,4,2.3333333333333335
24,7,5,2.0
24,8,7,2.75
24,9,1,1.2
24,10,0,1.0
24,11,7,2.75
24,12,0,1.0
24,13,8,3.6666666666666665
24,14,4,3.0
24,15,2,1.6666666666666667
24,16,-1,0.75
24,17,0,1.0
24,18,3,1.75
24,19,2,2.0
24,20,2,1.6666666666666667
24,21,2,1.6666666666666667
24,22,0,1.0
24,23,8,3.0
24,25,7,3.3333333333333335
24,26,1,1.25
24,27,3,1.75
24,28,3,1.75
24,29,6,2.2
24,30,6,2.2
24,31,0,1.0
24,32,6,2.2
25,1,4,1.8
25,2,-2,0.5
25,3,2,1.5
25,4,0,1.0
25,5,4,2.3333333333333335
25,6,1,1.3333333333333333
25,7,-2,0.6
25,8,0,1.0
25,9,1,1.25
25,10,2,1.5
25,11,0,1.0
25,12,2,1.4
25,13,-1,0.8
25,14,3,1.75
25,15,5,2.6666666666666665
25,16,6,4.0
25,17,5,2.25
25,18,4,2.0
25,19,7,4.5
25,20,-3,0.4
25,21,3,1.6
25,22,4,1.8
25,23,2,1.6666666666666667
25,24,7,3.3333333333333335
25,26,6,2.5
25,27,6,2.5
25,28,6,2.5
25,29,-1,0.8
25,30,-1,0.8
25,31,5,2.0
25,32,-1,0.8
26,1,3,2.0
26,2,5,2.25
26,3,10,4.333333333333333
26,4,4,2.0
26,5,1,1.3333333333333333
26,6,3,1.75
26,7,6,2.5
26,8,7,2.75
26,9,2,1.5
26,10,1,1.25
26,11,7,2.75
26,12,1,1.25
26,13,7,2.75
26,14,3,2.0
26,15,3,2.5
26,16,-1,0.75
26,17,-1,0.8
26,18,4,2.3333333333333335
26,19,1,1.3333333333333333
26,20,3,2.5
26,21,1,1.25
26,22,-3,0.4
26,23,7,2.4
26,24,1,1.25
26,25,6,2.5
26,27,3,1.75
26,28,4,2.3333333333333335
26,29,6,2.2
26,30,9,5.5
26,31,1,1.25
26,32,7,2.75
27,1,-1,0.6666666666666666
27,2,6,3.0
27,3,11,6.5
27,4,5,2.6666666666666665
27,5,1,1.3333333333333333
27,6,5,3.5
27,7,7,3.3333333333333335
27,8,8,3.6666666666666665
27,9,2,1.5
27,10,1,1.25
27,11,7,2.75
27,12,2,1.6666666666666667
27,13,8,3.6666666666666665
27,14,2,1.5
27,15,2,1.6666666666666667
27,16,1,1.25
27,17,2,1.5
27,18,3,1.75
27,19,3,2.0
27,20,2,1.6666666666666667
27,21,-1,0.75
27,22,2,1.5
27,23,9,4.0
27,24,3,1.75
27,25,6,2.5
27,26,3,1.75
27,28,-1,0.75
27,29,6,2.2
27,30,7,2.75
