src,dst,add_st,mul_st
18,10,-1,0.75
18,11,1,1.25
18,12,0,1.0
18,13,0,1.0
18,14,-3,0.4
18,15,3,2.5
18,16,-1,0.75
18,17,-3,0.4
18,19,0,1.0
18,20,1,1.25
18,21,-1,0.8
18,22,-1,0.8
18,23,-1,0.75
18,24,-1,0.75
18,25,2,1.5
18,26,1,1.3333333333333333
18,27,-1,0.75
18,28,1,1.3333333333333333
18,29,-1,0.8
18,30,0,1.0
18,31,-1,0.75
18,32,0,1.0
19,1,-1,0.75
19,2,0,1.0
19,3,1,1.3333333333333333
19,4,-1,0.75
19,5,0,1.0
19,6,2,2.0
19,7,0,1.0
19,8,1,1.3333333333333333
19,9,0,1.0
19,10,0,1.0
19,11,0,1.0
19,12,0,1.0
19,13,0,1.0
19,14,1,1.3333333333333333
19,15,2,2.0
19,16,-1,0.6666666666666666
19,17,-3,0.4
19,18,0,1.0
19,20,0,1.0
19,21,0,1.0
19,22,-2,0.6
19,23,2,1.6666666666666667
19,24,1,1.5
19,25,3,2.5
19,26,1,1.3333333333333333
19,27,1,1.3333333333333333
19,28,1,1.3333333333333333
19,29,0,1.0
19,30,0,1.0
19,31,-1,0.75
19,32,0,1.0
20,1,0,1.0
20,2,0,1.0
20,3,2,2.0
20,4,0,1.0
20,5,-1,0.6666666666666666
20,6,1,1.3333333333333333
20,7,-1,0.6666666666666666
20,8,-1,0.75
20,9,0,1.0
20,10,-1,0.75
20,11,-1,0.75
20,12,0,1.0
20,13,0,1.0
20,14,2,2.0
20,15,0,1.0
20,16,-1,0.75
20,17,0,1.0
20,18,1,1.25
20,19,0,1.0
20,21,0,1.0
20,22,0,1.0
20,23,0,1.0
20,24,1,1.3333333333333333
20,25,-3,0.4
20,26,2,2.0
20,27,1,1.3333333333333333
20,28,0,1.0
20,29,-2,0.6
20,30,0,1.0
20,31,1,1.3333333333333333
20,32,0,1.0
21,1,-2,0.5
21,2,2,2.0
21,3,0,1.0
21,4,0,1.0
21,5,-1,0.6666666666666666
21,6,-1,0.75
21,7,0,1.0
21,8,-2,0.6
21,9,-1,0.75
21,10,-1,0.75
21,11,0,1.0
21,12,-1,0.75
21,13,0,1.0
21,14,1,1.5
21,15,-1,0.75
21,16,-1,0.75
21,17,0,1.0
21,18,-1,0.8
21,19,0,1.0
21,20,0,1.0
21,22,0,1.0
21,23,-1,0.8
21,24,0,1.0
21,25,-1,0.8
21,26,-1,0.75
21,27,-1,0.75
21,28,0,1.0
21,29,0,1.0
21,30,-2,0.6
21,31,1,1.3333333333333333
21,32,-1,0.75
22,1,-2,0.5
22,2,1,1.5
22,3,0,1.0
22,4,0,1.0
22,5,0,1.0
22,6,-1,0.75
22,7,0,1.0
22,8,-2,0.6
22,9,-1,0.75
22,10,0,1.0
22,11,1,1.3333333333333333
22,12,0,1.0
22,13,1,1.5
22,14,0,1.0
22,15,0,1.0
22,16,-2,0.5
22,17,0,1.0
22,18,-1,0.8
22,19,-2,0.6
22,20,0,1.0
22,21,0,1.0
22,23,-1,0.8
22,24,-1,0.75
22,25,-1,0.8
22,26,-3,0.4
22,27,-1,0.75
22,28,0,1.0
22,29,1,1.25
22,30,-2,0.6
22,31,1,1.3333333333333333
22,32,1,1.5
23,1,-1,0.75
23,2,-1,0.75
23,3,-1,0.6666666666666666
23,4,1,1.3333333333333333
23,5,1,1.3333333333333333
23,6,2,2.0
23,7,-1,0.75
23,8,1,1.3333333333333333
23,9,0,1.0
23,10,-1,0.75
23,11,0,1.0
23,12,0,1.0
23,13,0,1.0
23,14,-2,0.5
23,15,1,1.25
23,16,3,2.5
23,17,0,1.0
23,18,-1,0.75
23,19,2,1.6666666666666667
23,20,0,1.0
23,21,-1,0.8
23,22,-1,0.8
23,24,0,1.0
23,25,1,1.3333333333333333
23,26,-1,0.8
23,27,0,1.0
23,28,-1,0.8
23,29,-3,0.4
23,30,-1,0.8
23,31,1,1.25
23,32,0,1.0
24,1,-3,0.4
24,2,0,1.0
24,3,-1,0.75
24,4,0,1.0
24,5,-1,0.75
24,6,0,1.0
24,7,-1,0.8
24,8,-1,0.75
24,9,-2,0.6
24,10,-1,0.8
24,11,0,1.0
24,12,-1,0.8
24,13,0,1.0
24,14,1,1.5
24,15,1,1.3333333333333333
24,16,-1,0.75
24,17,-2,0.5
24,18,-1,0.75
24,19,1,1.5
24,20,1,1.3333333333333333
24,21,0,1.0
24,22,-1,0.75
24,23,0,1.0
24,25,2,1.6666666666666667
24,26,-1,0.75
24,27,-1,0.75
24,28,-1,0.75
24,29,0,1.0
24,30,-2,0.6
24,31,-2,0.6
24,32,-2,0.6
25,1,-1,0.8
25,2,-2,0.5
25,3,-1,0.75
25,4,0,1.0
25,5,0,1.0
25,6,1,1.3333333333333333
25,7,-2,0.6
25,8,0,1.0
25,9,1,1.25
25,10,0,1.0
25,11,0,1.0
25,12,-1,0.8
25,13,-1,0.8
25,14,1,1.25
25,15,1,1.3333333333333333
25,16,2,2.0
25,17,1,1.25
25,18,2,1.5
25,19,3,2.5
25,20,-3,0.4
25,21,-1,0.8
25,22,-1,0.8
25,23,1,1.3333333333333333
25,24,2,1.6666666666666667
25,26,1,1.25
25,27,1,1.25
25,28,-1,0.75
25,29,-1,0.8
25,30,-1,0.8
25,31,-1,0.8
25,32,-1,0.8
26,1,-1,0.6666666666666666
26,2,0,1.0
26,3,0,1.0
26,4,-1,0.75
26,5,0,1.0
26,6,-1,0.75
26,7,0,1.0
26,8,-1,0.75
26,9,-1,0.75
26,10,0,1.0
26,11,0,1.0
26,12,0,1.0
26,13,-1,0.75
26,14,0,1.0
26,15,2,2.0
26,16,-1,0.75
26,17,-2,0.6
26,18,1,1.3333333333333333
26,19,1,1.3333333333333333
26,20,2,2.0
26,21,-1,0.75
26,22,-3,0.4
26,23,-1,0.8
26,24,-1,0.75
26,25,1,1.25
26,27,-1,0.75
26,28,0,1.0
26,29,0,1.0
26,30,1,1.5
26,31,0,1.0
26,32,-1,0.75
27,1,-1,0.6666666666666666
27,2,1,1.3333333333333333
27,3,1,1.5
27,4,0,1.0
27,5,0,1.0
27,6,1,1.5
27,7,1,1.3333333333333333
27,8,0,1.0
27,9,-1,0.75
27,10,-1,0.75
27,11,0,1.0
27,12,1,1.3333333333333333
27,13,0,1.0
27,14,-2,0.5
27,15,1,1.3333333333333333
27,16,0,1.0
27,17,-1,0.75
27,18,-1,0.75
27,19,1,1.3333333333333333
27,20,1,1.3333333333333333
27,21,-1,0.75
27,22,-1,0.75
27,23,0,1.0
27,24,-1,0.75
27,25,1,1.25
27,26,-1,0.75
27,28,-1,0.75
27,29,-1,0.8
27,30,-1,0.75
27,31,1,1.3333333333333333
27,32,0,1.0
28,1,-2,0.5
28,2,0,1.0
28,3,0,1.0
28,4,0,1.0
28,5,0,1.0
28,6,-1,0.75
28,7,-1,0.75
28,8,-1,0.75
28,9,-1,0.75
28,10,0,1.0
28,11,0,1.0
28,12,0,1.0
28,13,-1,0.75
28,14,-1,0.75
